index,ad1,ad2,source_ad1,source_ad2,count.nonparaphrase,count.paraphrase,count.preference_skip,count.preference_ad1,count.preference_ad2
486,塗るビタミンCパウダー,ビタミンCパウダー,adsimilarity,adsimilarity,3,2,0,0,0
487,出産準備本を全員無料プレゼント,妊娠9週の全員に無料プレゼント,adsimilarity,adsimilarity,5,0,0,0,0
488,換気しながら部屋も暖かく快適に,換気も暖かい空気も,adsimilarity,adsimilarity,1,4,0,9,1
489,2／3まで500円ヒゲ脱毛体験,"ヒゲ脱毛体験《1,000円》",adsimilarity,adsimilarity,5,0,0,0,0
490,海外ドラマの最新レンタル作品も,レンタル作品／海外ドラマが充実,adsimilarity,adsimilarity,2,3,0,2,8
491,最短即日発行のクレジットカード,最短発行クレジットカード比較,adsimilarity,adsimilarity,4,1,0,0,0
492,Game of Future【前篇】独占配信,Game of Future【前篇】配信決定,adsimilarity,adsimilarity,1,4,0,9,1
493,手ぶらで体験レッスン実施中,【TVで話題】手ぶら体験無料,adsimilarity,adsimilarity,3,2,0,0,0
494,ネットで簡単楽々注文,【ネットで完結】2分で注文完了‎,adsimilarity,adsimilarity,4,1,0,0,0
495,がん・医療保険ならアフラック,がん保険・医療保険なら,adsimilarity,adsimilarity,4,1,0,0,0
496,石川で転職・求人情報を探す,石川で希望の求人情報がみつかる,adsimilarity,adsimilarity,0,5,0,6,4
497,最大20％ポイント超還元,総額６億円ポイント超還元,adsimilarity,adsimilarity,5,0,0,0,0
498,(mystic)が最大70%OFF,(mystic)が最大3万円割引,adsimilarity,adsimilarity,5,0,0,0,0
499,【工事全国対応】店舗防犯カメラ,店舗用防犯カメラ,adsimilarity,adsimilarity,4,1,0,0,0
500,BitMatch注文が新登場,国内唯一の新機能BitMatch注文,adsimilarity,adsimilarity,4,1,0,0,0
501,秋冬インターンシップを探す,夏のインターンシップエントリー,adsimilarity,adsimilarity,5,0,0,0,0
502,町田旭で店舗をお探しの方,お近くの店舗をお探しの方,adsimilarity,adsimilarity,5,0,0,0,0
503,"初期費用""0円""170万店舗が導入中","初期費用""0円""180万店舗が導入中",adsimilarity,adsimilarity,5,0,0,0,0
504,徹底中継／スカパー,11月6日～徹底中継/スカパー,adsimilarity,adsimilarity,4,1,0,0,0
505,パンフレット制作をプロに依頼,パンフレット制作を見積もり依頼,adsimilarity,adsimilarity,2,3,0,8,2
506,初開催エシカルデイズ,エシカルデイズ開催中,adsimilarity,adsimilarity,3,2,0,0,0
507,頑張る現代人の乳酸菌サプリ,その頑張りに乳酸菌の新習慣,adsimilarity,adsimilarity,2,3,0,5,5
508,鬼滅の刃など原作コミックも充実,TVドラマ化の原作コミックも充実,adsimilarity,adsimilarity,5,0,0,0,0
509,最新フルサイズミラーレスカメラ,フルサイズミラーレスカメラ,adsimilarity,adsimilarity,3,2,0,0,0
510,今年 社会人になる方必見,新社会人必見のおすすめカード,adsimilarity,adsimilarity,3,2,0,0,0
511,シンプルな保障でお手頃な保険料,業界最安水準の保険料で安心保障,adsimilarity,adsimilarity,4,1,0,0,0
512,フルサイズ一眼 EOS R6,フルサイズ一眼 EOS R5 / EOS R6,adsimilarity,adsimilarity,3,2,0,0,0
513,のLove Song】イッキ見,のLove Song】見放題,adsimilarity,adsimilarity,0,5,0,2,8
514,《26歳まで年会費無料》,U25限定年会費無料,adsimilarity,adsimilarity,5,0,0,0,0
515,人気コミック10万話以上が無料,毎日無料の人気コミックも充実,adsimilarity,adsimilarity,4,1,0,0,0
516,毎日無料の人気コミックも充実,【無料コミック】10万話以上,adsimilarity,adsimilarity,4,1,0,0,0
517,【入会金0円】9教科対応,【追加受講費0円】9教科対応,adsimilarity,adsimilarity,4,1,0,0,0
518,ボトルジャッキ通販／ミスミ,ボトルジャッキの専用ページ,adsimilarity,adsimilarity,4,1,0,0,0
519,結婚式準備なら【ゼクシィ】,ウエディングなら【ゼクシィ】,adsimilarity,adsimilarity,1,4,1,6,3
520,自宅でサロン品質のヘアカラー,サロン品質のヘアカラー,adsimilarity,adsimilarity,2,3,0,9,1
521,裸眼風カラコンでモテ瞳を実現,バレずに盛れる美人カラコン,adsimilarity,adsimilarity,4,1,0,0,0
522,女性向け保険は保障で比較,女性のための医療保険,adsimilarity,adsimilarity,5,0,0,0,0
523,たるみでお悩みの方へ,顔・あご下などのたるみに,adsimilarity,adsimilarity,4,1,0,0,0
524,クッションファンデーション,クッションコンパクト,adsimilarity,adsimilarity,4,1,0,0,0
525,都心を中心に40か所以上に展開,都心を中心に41ヶ所に展開,adsimilarity,adsimilarity,5,0,0,0,0
526,住宅ローンならauじぶん銀行,auユーザーおすすめの住宅ローン,adsimilarity,adsimilarity,4,1,0,0,0
527,お住まいの地域でトヨタ車を検索,お住まいの地域で絞って検索,adsimilarity,adsimilarity,4,1,0,0,0
528,バキューム洗顔で肌綺麗,バキューム洗顔でいちご鼻改善,adsimilarity,adsimilarity,4,1,0,0,0
529,まずは無料会員登録,【無料会員登録】かんたん60秒,adsimilarity,adsimilarity,4,1,0,0,0
530,1万名におむつケースなど当たる,1万名にマルチバッグ等も当たる,adsimilarity,adsimilarity,5,0,0,0,0
531,大手町のマンツーマン指導なら,恵比寿駅近のマンツーマン指導,adsimilarity,adsimilarity,5,0,0,0,0
532,2/13(土)～U-NEXT独占で配信,U-NEXT独占で好評配信中,adsimilarity,adsimilarity,4,1,0,0,0
533,長野の求人情報が豊富,長野の求人情報をみつける,adsimilarity,adsimilarity,1,4,1,7,2
534,体臭に良い、薬用「柿渋石けん」,男の年齢臭に良い「柿渋石けん」,adsimilarity,adsimilarity,5,0,0,0,0
535,見やすいサイトNo.1,見学したい施設数No.1,adsimilarity,adsimilarity,4,1,0,0,0
536,最新版／定番・注目のクレカは？,最新人気No1はどのクレカ？,adsimilarity,adsimilarity,3,2,0,0,0
537,60代ハリを諦めない方の美容液,ハリを諦めない人の為の美容液,adsimilarity,adsimilarity,3,2,0,0,0
538,解約～新規申込まで完全サポート,【新生活応援】解約～乗換まで,adsimilarity,adsimilarity,4,1,0,0,0
539,東京・神奈川限定補助金あり,補助金制度あり,adsimilarity,adsimilarity,4,1,0,0,0
540,受験勉強のための塾費用にも,これからの受験費用にも使える,adsimilarity,adsimilarity,2,3,2,4,4
541,ゲイに告る。】を観るなら,ゲイに告る。】を配信中,adsimilarity,adsimilarity,0,5,2,3,5
542,【決定版】注目のすっぽんサプリ,【2021決定版】すっぽんサプリ,adsimilarity,adsimilarity,4,1,0,0,0
543,【公式通販】ご購入はコチラから,【公式通販】お試しはコチラから,adsimilarity,adsimilarity,4,1,0,0,0
544,口コミで大人気の高麗人参サプリ,TVで話題の高麗人参サプリ,adsimilarity,adsimilarity,3,2,0,0,0
545,新幹線で行く大阪・東京旅行,東京と大阪の旅行なら,adsimilarity,adsimilarity,4,1,0,0,0
546,睡眠で悩んでいる女性へ,女性のほとんどの悩みは睡眠から,adsimilarity,adsimilarity,4,1,0,0,0
547,【2021年】保険窓口ランキング,保険相談窓口ランキングTOP３,adsimilarity,adsimilarity,5,0,0,0,0
548,人材育成にアセスメントテスト,アセスメントテスト(GMAP),adsimilarity,adsimilarity,3,2,0,0,0
549,都市ガス製品を激安価格で交換,TOKYOガス製品を激安価格で交換,adsimilarity,adsimilarity,4,1,0,0,0
550,あなたにピッタリのトラックは？,トラックは何を選べばいい？,adsimilarity,adsimilarity,2,3,0,8,2
551,【期間限定】10%OFFセール中,【期間限定】タイムセール実施中,adsimilarity,adsimilarity,4,1,0,0,0
552,リーズナブルでおしゃれな家具,おしゃれで低価格のインテリア,adsimilarity,adsimilarity,0,5,0,8,2
553,【兵庫県特集】介護の好条件求人,【兵庫県限定】介護の好条件求人,adsimilarity,adsimilarity,0,5,1,3,6
554,大人気チョコプラが参戦,大人気かまいたちが参戦,adsimilarity,adsimilarity,5,0,0,0,0
555,全国各地のご当地グルメを購入,ご当地グルメをお家で楽しむ,adsimilarity,adsimilarity,4,1,0,0,0
556,格安自動車保険を探すならコチラ,最安の自動車保険会社はどこ？,adsimilarity,adsimilarity,2,3,0,9,1
557,経験豊富な税理士をご紹介,相続税申告に詳しい税理士,adsimilarity,adsimilarity,5,0,0,0,0
558,お申し込みはWEBで,カードローンWEBお申し込みなら,adsimilarity,adsimilarity,3,2,0,0,0
559,第一三共ヘルスケア開発コスメ,【第一三共ヘルスケア開発】,adsimilarity,adsimilarity,3,2,0,0,0
560,高コスパランキング1位はどこ？,コスパに特化したランキング発表,adsimilarity,adsimilarity,2,3,0,2,8
561,公式特典：今だけ２週間無料体験,公式特典：今だけ5回も無料体験,adsimilarity,adsimilarity,5,0,0,0,0
562,MARY QUANTなど,マリークヮントをチェック,adsimilarity,adsimilarity,1,4,3,4,3
563,美しい字を身につけるきっかけに,美しい文字を身につけませんか,adsimilarity,adsimilarity,0,5,0,5,5
564,Deuxieme Classeが最大3万円割引,(Deuxieme Classe)が最大70%OFF,adsimilarity,adsimilarity,5,0,0,0,0
565,大人気かまいたちが参戦,大人気ジャルジャルが参戦,adsimilarity,adsimilarity,5,0,0,0,0
566,鬼滅の刃など人気コミックが充実,人気の少女・女性コミックが充実,adsimilarity,adsimilarity,5,0,0,0,0
567,人気春夏メンズアイテム勢ぞろい,人気春物メンズアイテム勢ぞろい,adsimilarity,adsimilarity,3,2,0,0,0
568,恵比寿駅近のマンツーマン指導,神田駅近のマンツーマン指導なら,adsimilarity,adsimilarity,5,0,0,0,0
569,ロゴ制作を見積もり依頼,ロゴ制作をプロに依頼,adsimilarity,adsimilarity,4,1,0,0,0
570,最短1日で完了,室内ドア／最短1日から完了,adsimilarity,adsimilarity,3,2,0,0,0
571,ディノスのメガヒット暖か寝具,ディノス冬寝具 6年連続No1,adsimilarity,adsimilarity,5,0,0,0,0
572,大学・専門学校への進学なら,大学・専門学校探しをはじめよう,adsimilarity,adsimilarity,1,4,1,6,3
573,【Google Pixel 5a (5G)】販売中,Google Pixel 5a (5G) 独占販売,adsimilarity,adsimilarity,3,2,0,0,0
574,人気の動画配信サービスを比較,動画配信サービスを徹底分析,adsimilarity,adsimilarity,3,2,0,0,0
575,「朝からぐったり…」,「明日起きれるか不安…」,adsimilarity,adsimilarity,4,1,0,0,0
576,3200万部突破のヒット漫画も配信,約12年の連載作品が全巻配信,adsimilarity,adsimilarity,5,0,0,0,0
577,人気春夏レディースファッション,人気春物レディースファッション,adsimilarity,adsimilarity,4,1,0,0,0
578,ボードの上で楽しくヨガレッスン,楽しく続けられるサーフヨガ,adsimilarity,adsimilarity,1,4,1,4,5
579,美しい文字を身につけませんか,文字がきれいな日常を,adsimilarity,adsimilarity,3,2,0,0,0
580,イチナナライバー大募集,ライバー募集中,adsimilarity,adsimilarity,4,1,0,0,0
581,最強スペックのAndroid端末,Google Pixel 史上最強スペック,adsimilarity,adsimilarity,4,1,0,0,0
582,銀座駅近のゴルフスクールなら,池袋駅近のゴルフスクールなら,adsimilarity,adsimilarity,5,0,0,0,0
583,"あなたに""フィット""する",あなたにフィットする保険なら,adsimilarity,adsimilarity,4,1,0,0,0
584,"1/14(木),15(金) U-NEXTで生配信",U-NEXTでLIVE配信,adsimilarity,adsimilarity,5,0,0,0,0
585,教育関連にご利用可能なローン,教育関連の費用にご利用可能,adsimilarity,adsimilarity,2,3,1,6,3
586,新規登録で1000円分プレゼント,今だけ登録で1000円分プレゼント,adsimilarity,adsimilarity,3,2,0,0,0
587,(Omekashi)がアウトレット価格,(Omekashi)が最大70%OFF,adsimilarity,adsimilarity,5,0,0,0,0
588,恵比寿駅近のゴルフスクールなら,神田駅近のゴルフスクールなら,adsimilarity,adsimilarity,5,0,0,0,0
589,おすすめのヒゲ脱毛とは,最新のおすすめヒゲ脱毛TOP5,adsimilarity,adsimilarity,4,1,0,0,0
590,プロ野球中継観るならスカパー,セ・パ12球団徹底中継／スカパー,adsimilarity,adsimilarity,1,4,0,5,5
591,希望に合った物件をカンタン検索,あなたにピッタリの住まい探し,adsimilarity,adsimilarity,2,3,1,4,5
592,大切な方へ想いを込めたギフト,大切な日のプレゼントに,adsimilarity,adsimilarity,3,2,0,0,0
593,オープンキャンパス情報,オープンキャンパス【2021】,adsimilarity,adsimilarity,5,0,0,0,0
594,公式サイトはこちら,公式オンラインショップはこちら,adsimilarity,adsimilarity,2,3,1,6,3
595,どこでもふれずに手洗い習慣,どこでも手洗い,adsimilarity,adsimilarity,4,1,0,0,0
596,Galaxy Z Flip3 5Gのリアル,最新折りたたみスマホのリアル,adsimilarity,adsimilarity,5,0,0,0,0
597,＼オーキャンに参加しよう／,【予約】オープンキャンパス,adsimilarity,adsimilarity,2,3,0,2,8
598,あなたにフィットするがん保険,"もっと""フィット""できるがん保険",adsimilarity,adsimilarity,1,4,0,7,3
599,無料登録で解答速報をすぐ確認,解答速報。PCスマホですぐ確認,adsimilarity,adsimilarity,4,1,0,0,0
600,【全国】大学の資料請求はこちら,気になる大学をまとめて資料請求,adsimilarity,adsimilarity,2,3,0,3,7
601,約8日間無料お試しセット,初回限定／約1週間分無料お試し,adsimilarity,adsimilarity,5,0,0,0,0
602,グレンタのバッグのセール,グレンタのバッグなど,adsimilarity,adsimilarity,4,1,0,0,0
603,運営14年目の老舗サイト,運営15年目の老舗サイト/必見,adsimilarity,adsimilarity,5,0,0,0,0
604,顔・あご下などのたるみに,お肌のたるみでお悩みなら,adsimilarity,adsimilarity,3,2,0,0,0
605,2021年01月の最新のローン情報,2021年01月おすすめローン一覧,adsimilarity,adsimilarity,3,2,0,0,0
606,TWDシリーズをdTVで全話イッキ見,シーズン1から9もdTVで楽しめる,adsimilarity,adsimilarity,5,0,0,0,0
607,プティマインのキッズパンツなど,プティマインの子供靴など,adsimilarity,adsimilarity,4,1,0,0,0
608,1日6分ﾑﾘなく続く 2週間おためし,お腹の脂肪ｽｯｷﾘ 2週間おためし,adsimilarity,adsimilarity,5,0,0,0,0
609,LAN・HDMIケーブルの通信販売,LAN・USBケーブルの通信販売,adsimilarity,adsimilarity,4,1,0,0,0
610,小学生向け東進のオンライン講座,東進／小学生向け夏の特別授業,adsimilarity,adsimilarity,5,0,0,0,0
611,最短2時間で完了,ガス給湯器／最短2時間,adsimilarity,adsimilarity,3,2,0,0,0
612,【急募】40代・50代向けのパート,【急募】30代～50代の主婦大歓迎,adsimilarity,adsimilarity,5,0,0,0,0
613,Ryzenシリーズを豊富に取揃え,Core iシリーズを豊富に取揃え,adsimilarity,adsimilarity,5,0,0,0,0
614,試乗の予約はこちらから,ネットでかんたん試乗申し込み,adsimilarity,adsimilarity,2,3,0,5,5
615,妊娠初期から役立つ本プレゼント,妊婦のための本を無料プレゼント,adsimilarity,adsimilarity,3,2,0,0,0
616,コスパに特化したランキング発表,高コスパランキング1位はどこ？,adsimilarity,adsimilarity,2,3,2,5,3
617,ガス給湯器が80％OFFで即日交換,ガス給湯器が82％OFFで即日交換,adsimilarity,adsimilarity,5,0,0,0,0
618,高性能ミシンが大特価,ジャガーミシンが安い,adsimilarity,adsimilarity,4,1,0,0,0
619,【決定版】人気すっぽんサプリ,【最新】人気すっぽんサプリ1位,adsimilarity,adsimilarity,4,1,0,0,0
620,建築/土木学生のためのイベント,建築/土木学生のための合説開催,adsimilarity,adsimilarity,3,2,0,0,0
621,安いバイク保険が3分で見つかる,最安保険が最短3分で見つかる,adsimilarity,adsimilarity,5,0,0,0,0
622,24時間365日お申込み可能,24時間WEBでお申込みOK,adsimilarity,adsimilarity,3,2,0,0,0
623,LeSportsacのアイテム,レスポートサックのお財布など,adsimilarity,adsimilarity,2,3,0,6,4
624,2021年2月最新のローン情報,2021年2月最新版,adsimilarity,adsimilarity,3,2,0,0,0
625,女性向け胸キュンコミックが充実,人気少女・女性コミックが充実,adsimilarity,adsimilarity,2,3,1,4,5
626,ゼクシィBabyが妊婦さんを応援,妊婦さん応援キャンペーン,adsimilarity,adsimilarity,4,1,0,0,0
627,4/9～11、全6公演U-NEXTで生配信,3DAYS全6公演をU-NEXTで生配信,adsimilarity,adsimilarity,4,1,0,0,0
628,秋物新作多数入荷中。,2021年秋物新作続々入荷中,adsimilarity,adsimilarity,3,2,0,0,0
629,第一三共ヘルスケア開発の化粧品,第一三共ヘルスケアの技術力,adsimilarity,adsimilarity,4,1,0,0,0
630,dTV史上最多『100作品以上』配信,dTVで【100作品以上】取り揃え,adsimilarity,adsimilarity,3,2,0,0,0
631,475Lサイズの冷蔵庫,470Lサイズの冷蔵庫,adsimilarity,adsimilarity,5,0,0,0,0
632,今すぐお申込みいただけます,即日融資も可能。24時間申込みOK,adsimilarity,adsimilarity,4,1,0,0,0
633,生活費足りない、そんなときは？,生活費足りない、今すぐお金必要,adsimilarity,adsimilarity,2,3,1,9,0
634,1日6分ムリなく続くからお腹ｽｯｷﾘ,1日6分で脂肪が燃え続ける体に,adsimilarity,adsimilarity,4,1,0,0,0
635,人事評価をデジタル化しませんか,人材管理・人事評価のDX化なら,adsimilarity,adsimilarity,3,2,0,0,0
636,リクルートスタッフィング-介護,リクルートスタッフィング,adsimilarity,adsimilarity,4,1,0,0,0
637,増設メモリ等、各種メモリが多数,SDカードなど、各種メモリが多数,adsimilarity,adsimilarity,3,2,0,0,0
638,ストレスない手洗い習慣を,快適・安心な手洗い習慣を,adsimilarity,adsimilarity,1,4,1,2,7
639,お尻まであったかチュニック多数,春夏オススメチュニック多数,adsimilarity,adsimilarity,5,0,0,0,0
640,福島で挑戦する新しいまちづくり,新しい仲間とチャレンジする復興,adsimilarity,adsimilarity,5,0,0,0,0
641,シワ・シミ悩みの救世主,気になるシミ・シワにアプローチ,adsimilarity,adsimilarity,3,2,0,0,0
642,「M 愛すべき人がいて」視聴,ドラマ「M 愛すべき人がいて」,adsimilarity,adsimilarity,2,3,1,2,7
643,CALLAWAY APPAREL | 2021 SPRING,2021・SPRINGコレクション,adsimilarity,adsimilarity,3,2,0,0,0
644,12/6まで。家具・家電10%OFF,会員限定の家具・家電10%OFF,adsimilarity,adsimilarity,4,1,0,0,0
645,モノタロウでんき,モノタロウでんきで電気代を削減,adsimilarity,adsimilarity,3,2,0,0,0
646,人気の売れ筋春アイテム公開中,人気の春アイテム多数取り揃え,adsimilarity,adsimilarity,1,4,1,1,8
647,【特別価格】135円/1日(税抜),"【特別価格】4,050円（税抜）",adsimilarity,adsimilarity,4,1,0,0,0
648,トイレ用の部品,トイレ部品の純正品なら,adsimilarity,adsimilarity,4,1,0,0,0
649,【お得】CMで話題のまんが王国,CMで話題／まんが王国で試し読み,adsimilarity,adsimilarity,3,2,0,0,0
650,理想肌を目指す酵母メイク落とし,理想肌を目指すメイク落とし,adsimilarity,adsimilarity,3,2,0,0,0
651,オトナ女子向け漫画も読み放題,人気の少女・女性漫画が読み放題,adsimilarity,adsimilarity,2,3,0,4,6
652,健やかな骨づくりをサポート,自信を持った配合力で丈夫な骨を,adsimilarity,adsimilarity,4,1,0,0,0
653,懇親会・ビジネスイベントに,講演会・式典・パーティーに,adsimilarity,adsimilarity,4,1,0,0,0
654,初回85%OFFの980円,2月14日まで初回限定980円,adsimilarity,adsimilarity,5,0,0,0,0
655,5日分お試し380円はこちら,【1人1回限り】5日分お試し380円,adsimilarity,adsimilarity,4,1,0,0,0
656,【無料試し読み】人気漫画が充実,鬼滅の刃など漫画を無料試し読み,adsimilarity,adsimilarity,5,0,0,0,0
657,病院内のお仕事探しはリクルート,医師の求人・転職ならリクルート,adsimilarity,adsimilarity,4,1,0,0,0
658,女子向け漫画も最新話まで配信,人気漫画を最新話まで配信,adsimilarity,adsimilarity,4,1,0,0,0
659,3/27(土)28(日)放送/スカパー,3月20日(土)より放送/スカパー,adsimilarity,adsimilarity,5,0,0,0,0
660,"人気空気清浄機19,800円","人気空気清浄機19,800円。24日迄",adsimilarity,adsimilarity,4,1,0,0,0
661,妊娠2ヶ月全員に無料プレゼント,つわりの方全員に無料プレゼント,adsimilarity,adsimilarity,5,0,0,0,0
662,持病のある人も入りやすい,過去に手術をした人も入りやすい,adsimilarity,adsimilarity,4,1,0,0,0
663,人気少女漫画も全巻イッキ読み,映画の原作少女漫画もイッキ読み,adsimilarity,adsimilarity,3,2,0,0,0
664,ウエディングなら【ゼクシィ】,結婚式準備なら【ゼクシィ】,adsimilarity,adsimilarity,0,5,0,6,4
665,9/9(木)13時からウェビナー開催,12時からオンラインセミナー開催,adsimilarity,adsimilarity,5,0,0,0,0
666,新幹線で行くお得な京都旅行,【京都】新幹線＋宿がお得,adsimilarity,adsimilarity,2,3,1,2,7
667,【アイフル】即日融資でバレない,【アイフル】バレずに借入れ可能,adsimilarity,adsimilarity,3,2,0,0,0
668,新世代シンガーオーディション,新世代シンガーを発掘,adsimilarity,adsimilarity,3,2,0,0,0
669,【無料会員登録】かんたん60秒,まずは無料会員登録,adsimilarity,adsimilarity,4,1,0,0,0
670,朝からお疲れなママの救世主,寝ても疲れが取れないママへ,adsimilarity,adsimilarity,2,3,0,5,5
671,LINEポイントプレゼント,LINEポイント2ポイントゲット,adsimilarity,adsimilarity,3,2,0,0,0
672,物件情報毎日更新／新築一戸建て,【新着物件を毎週更新】戸建情報,adsimilarity,adsimilarity,2,3,0,7,3
673,書写の先生になりませんか？,書写の先生になりたい方へ,adsimilarity,adsimilarity,0,5,0,7,3
674,ライバー大募集,イチナナライバー大募集,adsimilarity,adsimilarity,3,2,0,0,0
675,【おすすめ】毎日無料の連載漫画,【毎日連載】無料漫画10万話以上,adsimilarity,adsimilarity,4,1,0,0,0
676,(MIUMIU)が最大3万円割引,(MIUMIU)が最大70%OFF,adsimilarity,adsimilarity,5,0,0,0,0
677,【鉄血のオルフェンズ】観るなら,【鉄血のオルフェンズ】配信中,adsimilarity,adsimilarity,1,4,1,0,9
678,安心と信頼の総合買取サロン,百貨店専門の総合買取サロン,adsimilarity,adsimilarity,5,0,0,0,0
679,"いつ申し込んでも1,980円分お得",いつ申し込んでも1カ月間分お得,adsimilarity,adsimilarity,5,0,0,0,0
680,戦国武将たちの愛刀に迫る一冊,刀剣ワールド／戦国武将の愛刀,adsimilarity,adsimilarity,4,1,0,0,0
681,生涯学習 大人も公文で書写,人生100年 大人の学び 公文書写,adsimilarity,adsimilarity,4,1,0,0,0
682,モバイルバッテリー,モバイルバッテリーあります,adsimilarity,adsimilarity,1,4,1,1,8
683,女性のための医療保険,女性向け保険は保障で比較,adsimilarity,adsimilarity,4,1,0,0,0
684,生活家電をサンワサプライで,生活家電をお探しなら,adsimilarity,adsimilarity,4,1,0,0,0
685,今ならお得な「先行会員」受付中,一番お得な先行会員：先着100名,adsimilarity,adsimilarity,4,1,0,0,0
686,ゲームプランナー採用サイト,ゲームプランナー採用強化中,adsimilarity,adsimilarity,3,2,0,0,0
687,補助金制度あり,東京・神奈川限定補助金あり,adsimilarity,adsimilarity,4,1,0,0,0
688,誰にも知られず契約までWEB完結,最短30分で審査完了／WEB完結,adsimilarity,adsimilarity,5,0,0,0,0
689,"スペアキー,合鍵",鍵・スペアキーの純正品なら,adsimilarity,adsimilarity,3,2,0,0,0
690,快適な生活に必要な商品が勢揃い,日々の暮らしに役立つ商品が満載,adsimilarity,adsimilarity,1,4,1,4,5
691,マナー研修付きの新入社員研修,助成金利用可能の新入社員研修,adsimilarity,adsimilarity,5,0,0,0,0
692,ピンクの薬用ゲル／センシティブ,スーパーセンシティブEX,adsimilarity,adsimilarity,4,1,0,0,0
693,40歳女性の場合の保険料,40歳男性の場合の保険料,adsimilarity,adsimilarity,4,1,0,0,0
694,Chloeの香水をミニサイズで,Chloeの香水を低価格でお試し,adsimilarity,adsimilarity,5,0,0,0,0
695,【10万円があたる】バイセルくじ,4月末迄／1等10万円のくじ実施中,adsimilarity,adsimilarity,4,1,0,0,0
696,現物3種、レバレッジ12種で取引,現物3種、レバレッジ11種で取引,adsimilarity,adsimilarity,4,1,0,0,0
697,盛夏の新作多数入荷中。,初夏の新作多数入荷中。,adsimilarity,adsimilarity,3,2,0,0,0
698,公文で書写の先生になりませんか,全国で公文書写の先生を募集中,adsimilarity,adsimilarity,2,3,0,6,4
699,立ち直れないほど、辛い恋…,＜ツラい失恋＞立ち直れない方へ,adsimilarity,adsimilarity,0,5,0,2,8
700,"#はじめよう出前館最大2,000オフ",初めての注文が1500円オフ,adsimilarity,adsimilarity,5,0,0,0,0
701,5万人参加 不動産投資セミナー,5万人参加 アパート経営セミナー,adsimilarity,adsimilarity,3,2,0,0,0
702,好きなことを本気で学べる高校,好きなことを学びながら高卒取得,adsimilarity,adsimilarity,2,3,0,6,4
703,女優かとうかず子さん(６２)愛用,女優かとうかず子さん(６３)愛用,adsimilarity,adsimilarity,4,1,0,0,0
704,いま支持されるクレカ第１位は？,選ばれてるクレジットカードは？,adsimilarity,adsimilarity,3,2,0,0,0
705,ネットで気軽にかんたん見積り,WEBでかんたん見積り,adsimilarity,adsimilarity,0,5,0,3,7
706,【関内でおすすめ】ネイル,おすすめネイルサロン＠関内,camera,human,0,5,2,2,6
707,ギフト券を高く売れる高換金率店,高換金率でギフト券を売却,camera,human,0,5,0,7,3
708,"ネット申込みで最大21,000円割引","ネット申込【最大￥21,000割引】",camera,human,0,5,3,1,6
709,プロ直伝の動画クリエイター講座,プロに学ぶ動画クリエイター講座,camera,human,0,5,1,4,5
710,【公式】バーミヤンの持ち帰り,持ち帰りに【公式】バーミヤン,camera,human,0,5,1,7,2
711,【厳選3社】即日キャッシング,厳選3社で“即日”キャッシング,camera,human,0,5,0,6,4
712,【2022年】人気ペット保険を比較,【2022年】人気のペット保険は？,camera,human,3,2,0,0,0
713,医師によるスピード発毛治療,医師主導の迅速な発毛治療,camera,human,0,5,0,9,1
714,【12月限定】年末特別価格,【12月限定】年末特別プライス,camera,human,0,5,1,5,4
715,【最新版】医療脱毛おすすめTOP5,【最新】医療脱毛のおすすめ5選,camera,human,0,5,1,7,2
716,【至急】お金が必要ならこの4社,至急でお金を借りるならこの4社,camera,human,0,5,0,7,3
717,ダンボール箱即日配達いたします,【即日配達OK】ダンボール箱,camera,human,0,5,2,1,7
718,バレずにお金借りるならこの3社,こっそり借りる カードローン3社,camera,human,3,2,0,0,0
719,【本日更新】看護師の求人,【〇/〇更新】看護師の求人,camera,human,4,1,0,0,0
720,各社の死亡保険を比較できる,【死亡保険】各社を一括比較,camera,human,1,4,0,1,9
721,トリバゴのおすすめ旅館,おすすめの旅館は？トリバゴ,camera,human,0,5,1,7,2
722,IT資産管理が簡単にできる,かんたんな【IT資産管理ツール】,camera,human,0,5,0,8,2
723,歯並びを1日で治すならこちら,「1日で治す」歯並び 矯正,camera,human,0,5,0,5,5
724,カンタン無料お見積り,かんたん￥0見積もり,camera,human,0,5,1,8,1
725,【300円】から始めるAGA治療,300円～【AGA治療】,camera,human,0,5,0,10,0
726,【公式】スクールIE／個別指導,個別指導なら【公式】スクールIE,camera,human,0,5,1,6,3
727,【最新2022年】人気がん保険TOP5,【2022年最新】人気がん保険5選,camera,human,0,5,1,8,1
728,エアコン掃除はプロにお任せ,プロに任せるエアコン掃除,camera,human,0,5,2,7,1
729,今日中にお金借りるならこの３社,「今日お金を借りたい」3社紹介,camera,human,0,5,1,5,4
730,自分たちの予算に合った結婚式,予算はいくら？結婚式相場を見る,camera,human,2,3,0,6,4
731,医療保険の見直ししませんか？,医療保険の見直しなら,camera,human,0,5,1,6,3
732,ワキガ対策/切らずに1回で完了,1回で完了。切らないワキガ対策,camera,human,0,5,1,5,4
733,今すぐオンライン診療予約,今すぐ予約【オンライン治療】,camera,human,0,5,0,1,9
734,最大91％OFF / 給湯器交換,最大９１％オフ／給湯器交換,camera,human,0,5,2,6,2
735,高校で【美容師免許】が取れる,【美容師免許】が取れる高校,camera,human,0,5,0,3,7
736,12月キャンペーン/残り21 日,【〇日まで】12月キャンペーン,camera,human,5,0,0,0,0
